"jet-listing-grid__item","jet-listing-dynamic-link__link","jet-listing-dynamic-link__link href","elementor-post-info__terms-list-item","elementor-post-info__terms-list","elementor-post-info__terms-list-item 2","elementor-post-info__terms-list-item 3"
".jet-listing-dynamic-post-2961 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2961 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Rectangle-77.png"");}","The Alchemist","https://magicalkenya.com/experience/the-alchemist/","Nairobi Circuit",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Rectangle-58.png"");}","Geco Cafe","https://magicalkenya.com/experience/geco-cafe/","Nairobi Circuit",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2973 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2973 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-Snake-park.jpg"");}","Kisumu Museum and Snake Park","https://magicalkenya.com/experience/kisumu-museum-and-snake-park/","Western Kenya",",","Adventure","Arts & Traditional Culture"
".jet-listing-dynamic-post-2974 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2974 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kibuye-Market.jpg"");}","Kibuye Market","https://magicalkenya.com/experience/kibuye-market/","Western Kenya",",","Adventure","Arts & Traditional Culture"
".jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-racing.jpg"");}","Boat Racing on Lake Victoria","https://magicalkenya.com/experience/boat-racing-on-lake-victoria/","Western Kenya",",","Adventure","Watersports"
".jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-Dunga-Camp.jpg"");}","Dunga Hill Camp","https://magicalkenya.com/experience/dunga-hill-camp/","Western Kenya","","Beaches and Islands",""
".jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Ndere-Island.jpg"");}","Ndere Island National Park","https://magicalkenya.com/experience/ndere-island-national-park/","Western Kenya",",","Game parks & Reserves","Nature & Wildife"
".jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-ride.jpg"");}","Lake Victoria Boat Safari","https://magicalkenya.com/experience/lake-victoria-boat-safari/","Western Kenya",",","Nature & Wildife","Nature trails and hikes"
".jet-listing-dynamic-post-2967 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2967 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/shutterstock_307440065-min-scaled-1.jpg"");}","Mnarani Beach Club","https://magicalkenya.com/experience/mnarani-beach-club/","North Coast",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2968 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2968 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/shutterstock_122464855-1-scaled-1.jpg"");}","Beneath the Baobabs","https://magicalkenya.com/experience/beneath-the-baobabs/","North Coast",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2961 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2961 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Rectangle-77.png"");}","The Alchemist","https://magicalkenya.com/experience/the-alchemist/","Nairobi Circuit",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Rectangle-58.png"");}","Geco Cafe","https://magicalkenya.com/experience/geco-cafe/","Nairobi Circuit",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2973 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2973 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-Snake-park.jpg"");}","Kisumu Museum and Snake Park","https://magicalkenya.com/experience/kisumu-museum-and-snake-park/","Western Kenya",",","Adventure","Arts & Traditional Culture"
".jet-listing-dynamic-post-2974 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2974 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kibuye-Market.jpg"");}","Kibuye Market","https://magicalkenya.com/experience/kibuye-market/","Western Kenya",",","Adventure","Arts & Traditional Culture"
".jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-racing.jpg"");}","Boat Racing on Lake Victoria","https://magicalkenya.com/experience/boat-racing-on-lake-victoria/","Western Kenya",",","Adventure","Watersports"
".jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-Dunga-Camp.jpg"");}","Dunga Hill Camp","https://magicalkenya.com/experience/dunga-hill-camp/","Western Kenya","","Beaches and Islands",""
".jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Ndere-Island.jpg"");}","Ndere Island National Park","https://magicalkenya.com/experience/ndere-island-national-park/","Western Kenya",",","Game parks & Reserves","Nature & Wildife"
".jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-ride.jpg"");}","Lake Victoria Boat Safari","https://magicalkenya.com/experience/lake-victoria-boat-safari/","Western Kenya",",","Nature & Wildife","Nature trails and hikes"
".jet-listing-dynamic-post-2967 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2967 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/shutterstock_307440065-min-scaled-1.jpg"");}","Mnarani Beach Club","https://magicalkenya.com/experience/mnarani-beach-club/","North Coast",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2968 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2968 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/shutterstock_122464855-1-scaled-1.jpg"");}","Beneath the Baobabs","https://magicalkenya.com/experience/beneath-the-baobabs/","North Coast",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2962 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Rectangle-58.png"");}","Geco Cafe","https://magicalkenya.com/experience/geco-cafe/","Nairobi Circuit",",","Adventure","Festivals and Nightlife"
".jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2972 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-racing.jpg"");}","Boat Racing on Lake Victoria","https://magicalkenya.com/experience/boat-racing-on-lake-victoria/","Western Kenya",",","Adventure","Watersports"
".jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2969 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-Dunga-Camp.jpg"");}","Dunga Hill Camp","https://magicalkenya.com/experience/dunga-hill-camp/","Western Kenya","","Beaches and Islands",""
".jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2970 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Ndere-Island.jpg"");}","Ndere Island National Park","https://magicalkenya.com/experience/ndere-island-national-park/","Western Kenya",",","Game parks & Reserves","Nature & Wildife"
".jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd:not(.elementor-motion-effects-element-type-background), .jet-listing-dynamic-post-2971 .elementor-element.elementor-element-214d74dd > .elementor-motion-effects-container > .elementor-motion-effects-layer{background-image:url(""https://magicalkenya.com/wp-content/uploads/2024/03/Kisumu-boat-ride.jpg"");}","Lake Victoria Boat Safari","https://magicalkenya.com/experience/lake-victoria-boat-safari/","Western Kenya",",","Nature & Wildife","Nature trails and hikes"