Category,Item/Sub-Category,EA Citizen Adult (Ksh),EA Citizen Child/Student (Ksh),Kenya Resident Adult (Ksh),Kenya Resident Child/Student (Ksh),Non-Resident Adult (USD),Non-Resident Child/Student (USD),African Citizen Adult (USD),African Citizen Child/Student (USD)
PARK ENTRY,Amboseli & Lake Nakuru,1500,750,2025,1050,90,45,50,25
PARK ENTRY,Nairobi National Park,1000,500,1350,675,80,40,40,20
PARK ENTRY,Nairobi Package (Park + Orphanage + Walk),1300,700,1750,950,105,55,55,20
PARK ENTRY,Tsavo East & Tsavo West,1000,500,1350,675,80,40,40,20
PARK ENTRY,Meru / Kora / Aberdare,800,500,1100,675,70,40,40,20
PARK ENTRY,Tsavo West-Amboseli Package,2200,1100,2900,1550,150,80,80,45
PARK ENTRY,Tsavo E/W-Amboseli Package,3000,1500,4000,2150,215,115,115,60
PARK ENTRY,Mt. Kenya National Park,800,400,1100,550,70,35,30,15
PARK ENTRY,Scenic Parks (Hells Gate/Longonot/etc),500,250,675,350,50,25,20,10
PARK ENTRY,Special Interest (Mwea/Ruma/Sibiloi/etc),500,250,675,350,40,20,20,10
PARK ENTRY,Sanctuaries (Orphanage/Walk/Impala),300,200,405,300,25,15,15,10
PARK ENTRY,Nairobi Sanctuary Package,500,300,675,500,40,20,25,15
PARK ENTRY,Marine Protected Areas (Watamu/etc),500,250,675,350,25,15,15,10
CAMPING,Special Campsite: Premium Parks,500,250,700,350,50,25,25,15
CAMPING,Special Campsite: All other Parks,250,200,350,250,35,20,20,10
CAMPING,Public Campsite: Premium Parks,250,200,350,250,30,25,15,13
CAMPING,Public Campsite: All other Parks,200,150,300,200,20,15,10,8
EXPERIENCES,Animal tracking (per person),2000,N/A,2000,N/A,20,N/A,20,N/A
EXPERIENCES,Warden's lecture (per group),3000,N/A,3000,N/A,30,N/A,30,N/A
EXPERIENCES,Night game drive (per person),3000,N/A,3000,N/A,50,N/A,50,N/A
EXPERIENCES,Walking Safari (per person per day),3000,N/A,3000,N/A,50,N/A,50,N/A
EXPERIENCES,Lake Boating (per person per hour),1500,N/A,1500,N/A,15,N/A,15,N/A
EXPERIENCES,Dhow Excursion (MPAs),1000,N/A,1000,N/A,10,N/A,10,N/A
EXPERIENCES,Cycling / Horse Riding (per day),1500,N/A,1500,N/A,15,N/A,15,N/A
EVENTS,Event Site: Premium/Urban (10-30 pax),20000,N/A,20000,N/A,200,N/A,200,N/A
EVENTS,Event Site: Premium/Urban (31-50 pax),30000,N/A,30000,N/A,300,N/A,300,N/A
EVENTS,Event Site: Premium/Urban (51-100 pax),80000,N/A,80000,N/A,800,N/A,800,N/A
EVENTS,Photo Sessions (Weddings/Personal),20000,N/A,20000,N/A,300,N/A,300,N/A
FILMING,Filming Fees (1-5 crew per week),16000,N/A,16000,N/A,200,N/A,200,N/A
FILMING,Filming Fees (6-10 crew per week),24000,N/A,24000,N/A,350,N/A,350,N/A
FILMING,Filming Fees (11+ crew per week),40000,N/A,40000,N/A,500,N/A,500,N/A
ANNUAL PASS,Adult Annual Pass,45000,N/A,45000,N/A,N/A,N/A,N/A,N/A
ANNUAL PASS,Child Annual Pass,N/A,10400,N/A,10400,N/A,N/A,N/A,N/A
ANNUAL PASS,Couple Annual Pass (2 Adults),80000,N/A,80000,N/A,N/A,N/A,N/A,N/A
ANNUAL PASS,Family Annual Pass (2 Adults + 5 Child),130000,N/A,130000,N/A,N/A,N/A,N/A,N/A
VEHICLE,Private Vehicle (< 6 seats),600,N/A,600,N/A,N/A,N/A,N/A,N/A
VEHICLE,6 - 12 seats,1500,N/A,1500,N/A,N/A,N/A,N/A,N/A
VEHICLE,13 - 24 seats,3000,N/A,3000,N/A,N/A,N/A,N/A,N/A
VEHICLE,25 - 44 seats,4500,N/A,4500,N/A,N/A,N/A,N/A,N/A
VEHICLE,45 seats and above,5000,N/A,5000,N/A,N/A,N/A,N/A,N/A
AIRCRAFT,Landing (< 1500 Kg),N/A,N/A,N/A,N/A,10,N/A,10,N/A
AIRCRAFT,Landing (1501 - 2500 Kg),N/A,N/A,N/A,N/A,20,N/A,20,N/A
AIRCRAFT,Landing (2501 - 5000 Kg),N/A,N/A,N/A,N/A,25,N/A,25,N/A
AIRCRAFT,Landing (5001 - 10000 Kg),N/A,N/A,N/A,N/A,40,N/A,40,N/A
LOGISTICS,Drone Charges (per drone per day),5000,N/A,5000,N/A,300,N/A,300,N/A
LOGISTICS,Trucks (1 - 3 tons),1000,N/A,1000,N/A,N/A,N/A,N/A,N/A
LOGISTICS,Trucks (4 - 7 tons),2250,N/A,2250,N/A,N/A,N/A,N/A,N/A
LOGISTICS,Trucks (> 7 tons),3250,N/A,3250,N/A,N/A,N/A,N/A,N/A